Roanoke, 2363224.0, 5.215421342849732
NYC, 2285021.0, 1.5633234977722168
UKansasState, 62962.0, 0.3452807664871216
Champaign, 70369.6, 1.4340071201324462
Berlin, 10261.1, 1.6010572910308838
UMissouri, 235982.6, 2.582274079322815
Boston, 1090987.5, 0.9656273126602173
Atlanta, 2217789.6, 0.5499583959579468
Cincinnati, 278893.4, 0.3336533308029175
Denver, 167884.3, 1.9944623470306397
SanFrancisco, 1684046.1, 2.2663235664367676
Toronto, 2975845.4, 2.425612735748291
Philadelphia, 1762568.4, 0.7430729627609253
